route_id,service_id,trip_id,direction_id,shape_id
RC02,FULL,BinniBusRC02.0.017,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.018,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.019,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.020,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.021,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.022,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.023,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.024,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.025,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.026,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.027,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.028,0,BinniBusRC02
RC02,FULL,BinniBusRC02.1.001,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.002,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.003,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.004,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.005,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.006,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.007,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.008,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.009,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.010,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.011,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.012,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.013,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.014,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.015,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.016,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.017,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.018,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.019,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.020,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.021,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.022,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.023,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.024,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.025,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.026,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.027,1,BinniBusRC02
RC02,FULL,BinniBusRC02.1.028,1,BinniBusRC02
RC03,FULL,BinniBusRC03.0.001,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.002,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.003,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.004,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.005,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.006,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.007,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.008,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.009,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.010,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.011,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.012,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.013,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.014,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.015,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.016,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.017,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.018,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.019,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.020,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.021,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.022,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.023,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.024,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.025,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.026,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.027,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.028,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.029,0,BinniBusRC03
RC03,FULL,BinniBusRC03.0.030,0,BinniBusRC03
RC03,FULL,BinniBusRC03.1.001,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.002,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.003,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.004,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.005,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.006,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.007,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.008,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.009,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.010,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.011,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.012,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.013,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.014,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.015,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.016,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.017,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.018,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.019,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.020,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.021,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.022,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.023,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.024,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.025,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.026,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.027,1,BinniBusRC03
RC03,FULL,BinniBusRC03.1.028,1,BinniBusRC03
RC04,FULL,BinniBusRC04.0.001,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.002,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.003,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.004,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.005,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.006,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.007,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.008,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.009,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.010,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.011,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.012,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.013,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.014,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.015,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.016,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.017,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.018,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.019,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.020,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.021,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.022,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.023,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.024,0,BinniBusRC04
RC04,FULL,BinniBusRC04.0.025,0,BinniBusRC04
RC04,FULL,BinniBusRC04.1.001,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.002,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.003,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.004,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.005,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.006,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.007,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.008,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.009,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.010,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.011,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.012,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.013,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.014,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.015,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.016,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.017,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.018,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.019,1,BinniBusRC04
